package,old,new,delta
restatis,0.3.0,0.4.0,*
askpass,1.2.1,1.2.1,
bit,4.6.0,4.6.0,
bit64,4.6.0-1,4.6.0-1,
cachem,1.1.0,1.1.0,
cli,3.6.5,3.6.5,
clipr,0.8.0,0.8.0,
cpp11,0.5.3,0.5.3,
crayon,1.5.3,1.5.3,
curl,7.0.0,7.0.0,
fastmap,1.2.0,1.2.0,
glue,1.8.0,1.8.0,
hms,1.1.4,1.1.4,
httr2,1.2.2,1.2.2,
lifecycle,1.0.5,1.0.5,
magrittr,2.0.4,2.0.4,
memoise,2.0.1,2.0.1,
openssl,2.3.5,2.3.5,
pillar,1.11.1,1.11.1,
pkgconfig,2.0.3,2.0.3,
prettyunits,1.2.0,1.2.0,
progress,1.2.3,1.2.3,
purrr,1.2.1,1.2.1,
R6,2.6.1,2.6.1,
rappdirs,0.3.4,0.3.4,
readr,2.2.0,2.2.0,
rlang,1.1.7,1.1.7,
sys,3.4.3,3.4.3,
tibble,3.3.1,3.3.1,
tidyselect,1.2.1,1.2.1,
tzdb,0.5.0,0.5.0,
utf8,1.2.6,1.2.6,
vctrs,0.7.1,0.7.1,
vroom,1.7.0,1.7.0,
withr,3.0.2,3.0.2,
